,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
83,huarmey,-10.0681,-78.1522,69.19,79,81,12.3,1650148912,PE
84,asosa,10.0667,34.5333,63.7,83,100,4.68,1650148913,ET
85,korla,41.7597,86.1469,47.89,15,0,2.75,1650148913,CN
86,chokurdakh,70.6333,147.9167,0.05,95,95,2.73,1650148914,RU
87,jamestown,42.097,-79.2353,45.52,41,20,17.27,1650148712,US
88,cidreira,-30.1811,-50.2056,65.84,72,100,7.49,1650148914,BR
89,kununurra,-15.7667,128.7333,75.18,100,26,4.61,1650148869,AU
90,luanda,-8.8368,13.2343,76.68,91,100,11.03,1650148915,AO
91,sistranda,63.7256,8.834,39.16,84,100,3.89,1650148915,NO
92,rawson,-43.3002,-65.1023,55.85,65,0,10.18,1650148778,AR
93,hambantota,6.1241,81.1185,79.92,82,69,6.73,1650148916,LK
94,payo,-3.7508,103.6372,72.77,99,100,1.74,1650148916,ID
95,chuy,-33.6971,-53.4616,59.47,80,40,6.24,1650148917,UY
96,dikson,73.5069,80.5464,10.15,94,100,15.37,1650148917,RU
97,grindavik,63.8424,-22.4338,46.87,93,75,16.11,1650148918,IS
98,jardim,-21.4803,-56.1381,69.24,63,14,4.99,1650148918,BR
99,kodiak,57.79,-152.4072,40.51,81,100,18.41,1650148880,US
100,albany,42.6001,-73.9662,40.64,89,100,2.3,1650148664,US
101,broken hill,-31.95,141.4333,67.71,40,0,10.36,1650148919,AU
102,ancud,-41.8697,-73.8203,57.22,86,28,2.53,1650148782,CL
103,lagoa,39.05,-27.9833,58.71,73,19,12.26,1650148920,PT
104,marsa matruh,31.3525,27.2453,71.8,49,0,11.5,1650148920,EG
105,luz,-19.8014,-45.6856,70.56,60,79,7.54,1650148921,BR
106,tazovskiy,67.4667,78.7,12.87,92,100,16.87,1650148786,RU
107,memphis,35.1495,-90.049,66.33,75,75,12.66,1650148716,US
108,coos bay,43.3665,-124.2179,52.32,81,20,14.97,1650148921,US
109,banda aceh,5.5577,95.3222,79.57,83,65,3.27,1650148922,ID
110,murray bridge,-35.1167,139.2667,76.12,35,52,9.75,1650148922,AU
111,arlit,18.7369,7.3853,77.92,10,100,8.14,1650148923,NE
112,husavik,66.0449,-17.3389,42.51,85,100,12.68,1650148923,IS
113,labuan,5.2767,115.2417,77.36,94,20,2.3,1650148924,MY
114,shahr-e babak,30.1165,55.1186,61.14,41,59,8.1,1650148924,IR
115,urumqi,43.801,87.6005,43.75,19,0,2.24,1650148925,CN
116,tuktoyaktuk,69.4541,-133.0374,1.4,66,20,5.75,1650148926,CA
117,nikolskoye,59.7035,30.7861,34.81,82,68,2.84,1650148926,RU
118,curvelo,-18.7564,-44.4308,73.65,65,98,3.87,1650148926,BR
119,port-gentil,-0.7193,8.7815,80.56,89,20,2.3,1650148927,GA
120,norman wells,65.282,-126.8329,15.84,38,20,3.44,1650148928,CA
121,coihaique,-45.5752,-72.0662,57.81,66,0,3.44,1650148743,CL
122,bathsheba,13.2167,-59.5167,81.21,69,40,16.11,1650148928,BB
123,alofi,-19.0595,-169.9187,84.09,79,25,5.75,1650148929,NU
124,kirakira,-10.4544,161.9205,84.83,65,86,6.46,1650148929,SB
125,xai-xai,-25.0519,33.6442,72.32,90,100,18.75,1650148929,MZ
126,sorland,67.667,12.6934,42.51,98,100,18.32,1650148930,NO
127,prince rupert,54.3161,-130.3201,48.29,43,0,9.22,1650148808,CA
128,marataizes,-21.0433,-40.8244,73.36,72,88,10.89,1650148931,BR
129,general roca,-39.0333,-67.5833,64.62,47,23,12.3,1650148931,AR
130,warrnambool,-38.3833,142.4833,68.81,46,90,18.5,1650148931,AU
131,port shepstone,-30.7414,30.455,62.83,83,100,4.03,1650148932,ZA
132,strezhevoy,60.7333,77.5889,30.02,90,100,11.01,1650148932,RU
133,zarubino,42.63,131.0922,45.54,46,96,4.03,1650148933,RU
134,severo-kurilsk,50.6789,156.125,32.13,71,100,10.63,1650148933,RU
135,tra vinh,9.9347,106.3453,77.63,85,10,4.88,1650148934,VN
136,dzaoudzi,-12.7887,45.2699,80.49,83,0,9.22,1650148934,YT
137,dingle,10.9995,122.6711,78.28,86,50,5.46,1650148935,PH
138,le vauclin,14.5452,-60.8388,80.65,69,20,17.27,1650148935,MQ
139,uvat,59.1433,68.8953,32.88,98,100,5.39,1650148935,RU
140,faanui,-16.4833,-151.75,81.73,72,7,14.56,1650148936,PF
141,verkhnevilyuysk,63.4453,120.3167,19.38,88,87,5.53,1650148936,RU
142,hay river,60.8156,-115.7999,10.38,61,75,13.8,1650148937,CA
143,victoria,22.2855,114.1577,70.25,76,100,11.99,1650148682,HK
144,erzin,36.9559,36.2,58.68,57,13,4.18,1650148937,TR
145,halifax,44.6453,-63.5724,51.69,67,100,26.46,1650148911,CA
146,nadezhda,44.1,44.6,47.14,75,8,7.05,1650148938,RU
147,lata,40.1629,-8.3327,51.04,92,22,1.54,1650148938,PT
148,hofn,64.2539,-15.2082,45.77,99,100,10.16,1650148939,IS
149,ketchikan,55.3422,-131.6461,44.58,39,26,4.41,1650148940,US
150,muros,42.7762,-9.0603,53.83,89,98,5.77,1650148940,ES
151,novikovo,51.1537,37.8879,48.81,92,100,5.88,1650148940,RU
152,vranov,48.8947,15.8127,39.25,73,7,6.44,1650148941,CZ
153,lebu,-37.6167,-73.65,54.48,88,37,12.06,1650148941,CL
154,visby,57.6409,18.296,39.42,70,75,9.22,1650148942,SE
155,codrington,-38.2667,141.9667,71.28,38,100,22.1,1650148942,AU
156,la ferte-bernard,48.1863,0.6536,55.02,89,1,7.49,1650148943,FR
157,cabo san lucas,22.8909,-109.9124,88.9,17,75,8.05,1650148874,MX
158,diffa,13.3154,12.6113,89.96,26,49,3.87,1650148944,NE
159,dicabisagan,17.0818,122.4157,76.62,86,49,5.95,1650148944,PH
160,mabai,23.0128,104.4508,58.59,97,100,3.58,1650148944,CN
161,thompson,55.7435,-97.8558,26.76,39,75,5.75,1650148675,CA
162,rocha,-34.4833,-54.3333,55.11,90,11,3.62,1650148945,UY
163,puerto leguizamo,-0.1934,-74.7819,77.25,90,92,0.4,1650148946,CO
164,nuuk,64.1835,-51.7216,27.21,63,13,9.22,1650148946,GL
165,khatanga,71.9667,102.5,17.35,97,97,6.44,1650148901,RU
166,nouadhibou,20.931,-17.0347,64.38,94,75,14.97,1650148947,MR
167,mahajanga,-15.7167,46.3167,75.22,83,20,4.61,1650148947,MG
168,goderich,43.7501,-81.7165,34.92,64,59,8.05,1650148891,CA
169,palmas de monte alto,-14.2672,-43.1619,73.44,80,99,9.31,1650148948,BR
170,qaanaaq,77.484,-69.3632,-15.54,78,40,6.04,1650148904,GL
171,fukue,32.6881,128.8419,58.84,57,51,8.55,1650148949,JP
172,saskylakh,71.9167,114.0833,14.7,93,99,17.4,1650148916,RU
173,policoro,40.2115,16.6726,61.99,61,100,4.0,1650148949,IT
174,anadyr,64.75,177.4833,34.3,75,75,11.18,1650148950,RU
175,narsaq,60.9167,-46.05,37.62,84,5,3.74,1650148950,GL
176,tual,-5.6667,132.75,83.77,73,100,4.14,1650148951,ID
177,lompoc,34.6391,-120.4579,72.01,74,100,13.0,1650148672,US
178,ust-kuyga,70.0167,135.6,3.6,92,99,4.92,1650148951,RU
179,noumea,-22.2763,166.4572,82.38,99,0,9.28,1650148952,NC
180,hithadhoo,-0.6,73.0833,82.9,66,65,6.71,1650148857,MV
181,christchurch,-43.5333,172.6333,57.42,86,75,3.44,1650148820,NZ
182,puno,-15.8333,-70.0333,45.84,40,31,5.3,1650148760,PE
183,carnarvon,-24.8667,113.6333,73.47,83,40,17.27,1650148939,AU
184,saint george,37.1041,-113.5841,79.39,13,40,33.38,1650148930,US
185,cap malheureux,-19.9842,57.6142,76.46,86,16,7.0,1650148953,MU
186,salinopolis,-0.6136,-47.3561,78.55,87,100,8.66,1650148954,BR
187,lewisville,33.0462,-96.9942,73.04,68,40,16.11,1650148698,US
188,trinidad,-14.8333,-64.9,78.78,69,20,3.44,1650148954,BO
189,mount gambier,-37.8333,140.7667,67.91,40,40,17.27,1650148955,AU
190,chernyshevskiy,63.0128,112.4714,27.64,96,100,8.32,1650148955,RU
191,vitim,59.4511,112.5578,28.58,97,100,5.73,1650148956,RU
192,vardo,70.3705,31.1107,38.86,83,100,28.27,1650148956,NO
193,san rafael,-34.6177,-68.3301,66.88,37,3,8.72,1650148727,AR
194,taoudenni,22.6783,-3.9836,78.31,20,0,9.66,1650148957,ML
195,tiksi,71.6872,128.8694,-2.69,94,56,4.92,1650148957,RU
196,maldonado,-34.6667,-54.9167,64.22,89,1,6.55,1650148957,UY
197,monrovia,6.3005,-10.7969,76.77,89,72,6.76,1650148958,LR
198,vung tau,10.346,107.0843,80.73,78,7,11.21,1650148746,VN
199,lasa,46.6166,10.7002,45.48,82,36,6.64,1650148959,IT
200,namibe,-15.1961,12.1522,73.33,75,41,7.29,1650148959,AO
201,sisimiut,66.9395,-53.6735,18.91,65,26,7.29,1650148959,GL
202,valverde del camino,37.5751,-6.7543,61.45,61,37,3.89,1650148960,ES
203,marathon,44.9,-89.7668,36.93,51,100,16.11,1650148832,US
204,kruisfontein,-34.0033,24.7314,59.88,87,97,3.53,1650148961,ZA
205,shangrao,28.4532,117.9686,50.83,87,100,2.62,1650148961,CN
206,paamiut,61.994,-49.6678,24.1,83,8,11.25,1650148961,GL
207,basco,20.4487,121.9702,76.15,77,29,17.05,1650148962,PH
208,lavrentiya,65.5833,-171.0,29.55,93,99,10.78,1650148963,RU
209,la ronge,55.1001,-105.2842,34.05,34,100,10.36,1650148963,CA
210,beringovskiy,63.05,179.3167,31.44,98,100,19.42,1650148963,RU
211,bom jesus da lapa,-13.255,-43.4181,73.85,90,100,2.8,1650148964,BR
212,clyde river,70.4692,-68.5914,-5.57,84,100,5.75,1650148964,CA
213,havre-saint-pierre,50.2334,-63.5986,37.76,75,0,19.57,1650148965,CA
214,cockburn town,21.4612,-71.1419,78.76,73,75,17.27,1650148965,TC
215,souillac,-20.5167,57.5167,79.18,83,75,8.05,1650148966,MU
216,hami,42.8,93.45,49.8,26,0,7.27,1650148966,CN
217,poyarkovo,49.6,128.6833,36.27,72,21,14.76,1650148967,RU
218,berdigestyakh,62.0989,126.6992,18.95,94,99,3.09,1650148967,RU
219,longyearbyen,78.2186,15.6401,22.84,68,75,8.05,1650148875,SJ
220,kupang,-10.1667,123.5833,79.2,80,44,4.21,1650148968,ID
221,kahului,20.8947,-156.47,78.82,61,75,13.8,1650148968,US
222,morondava,-20.2833,44.2833,80.91,86,36,4.47,1650148969,MG
223,ossora,59.2353,163.0719,29.3,70,100,3.85,1650148969,RU
224,sungaipenuh,-2.0833,101.3833,65.75,96,100,3.49,1650148970,ID
225,praia da vitoria,38.7333,-27.0667,59.25,88,20,9.42,1650148970,PT
226,kieta,-6.2167,155.6333,82.8,75,100,2.39,1650148971,PG
227,portland,45.5234,-122.6762,55.53,64,100,8.05,1650148654,US
228,xuddur,4.1213,43.8894,78.98,69,96,14.7,1650148971,SO
229,keti bandar,24.1447,67.4497,79.38,87,9,12.35,1650148972,PK
230,koulikoro,14.0,-7.75,87.37,23,78,9.08,1650148972,ML
231,kembe,4.6228,21.8865,71.67,83,34,2.86,1650148973,CF
232,krasnoselkup,65.7,82.4667,20.73,92,100,18.5,1650148973,RU
233,wieliczka,49.9874,20.0647,39.69,70,15,3.65,1650148713,PL
234,constitucion,-35.3333,-72.4167,54.12,82,3,7.49,1650148791,CL
235,yining,29.0361,114.5636,51.33,88,95,1.01,1650148974,CN
236,salalah,17.0151,54.0924,80.69,89,40,1.14,1650148933,OM
237,namtsy,62.7161,129.6658,13.68,92,88,3.78,1650148975,RU
238,sitka,57.0531,-135.33,44.49,57,40,8.05,1650148708,US
239,sarangani,5.4033,125.4636,81.7,71,16,2.39,1650148711,PH
240,iskateley,67.6803,53.1512,13.68,97,97,5.95,1650148975,RU
241,belmonte,-15.8631,-38.8828,76.6,87,100,13.96,1650148976,BR
242,walvis bay,-22.9575,14.5053,54.55,100,1,2.3,1650148976,NA
243,ust-nera,64.5667,143.2,16.09,90,94,2.66,1650148896,RU
244,manzhouli,49.6,117.4333,33.87,38,86,6.51,1650148977,CN
245,komsomolskiy,40.4272,71.7189,61.52,44,33,9.22,1650148978,UZ
246,winslow,35.0242,-110.6974,77.18,8,0,34.52,1650148978,US
247,camacha,33.0833,-16.3333,62.02,72,20,12.66,1650148978,PT
248,san patricio,28.017,-97.5169,91.49,65,94,14.67,1650148881,US
249,barcelos,41.5388,-8.6151,57.92,92,66,2.55,1650148979,PT
250,atar,20.5169,-13.0499,82.24,11,0,4.76,1650148980,MR
251,junqueiro,-9.9253,-36.4758,77.5,84,13,11.56,1650148980,BR
252,ambulu,-8.345,113.6058,75.51,89,88,3.24,1650148980,ID
253,mudkhed,19.1667,77.5167,86.65,27,22,5.73,1650148981,IN
254,cao bang,22.6667,106.25,60.46,97,100,1.95,1650148912,VN
255,talnakh,69.4865,88.3972,16.43,94,100,11.03,1650148982,RU
256,cayenne,4.9333,-52.3333,81.09,1,20,5.01,1650148982,GF
257,vila franca do campo,37.7167,-25.4333,61.21,85,100,7.78,1650148983,PT
258,doka,13.5167,35.7667,85.69,40,100,10.8,1650148983,SD
259,lengshuitan,26.4111,111.5956,50.68,92,100,3.31,1650148984,CN
260,nizwa,22.9333,57.5333,83.23,19,4,4.45,1650148984,OM
261,kavieng,-2.5744,150.7967,83.71,73,39,9.28,1650148984,PG
262,manado,1.487,124.8455,77.77,94,40,0.0,1650148985,ID
263,carauari,-4.8828,-66.8958,76.84,90,97,0.65,1650148985,BR
264,matara,5.9485,80.5353,79.21,85,78,4.12,1650148852,LK
265,sadao,6.6388,100.4234,77.56,96,76,0.81,1650148986,TH
266,taitung,22.7583,121.1444,66.47,72,75,6.91,1650148986,TW
267,campoverde,-8.4753,-74.8058,83.89,71,74,2.21,1650148987,PE
268,samarai,-10.6167,150.6667,82.24,75,100,4.9,1650148987,PG
269,auki,-8.7676,160.7034,84.49,67,95,1.7,1650148988,SB
270,abha,18.2164,42.5053,66.02,34,5,6.91,1650148988,SA
271,kerman,30.2832,57.0788,62.46,27,20,9.22,1650148989,IR
272,palana,59.1167,159.9667,19.89,86,88,1.99,1650148989,RU
273,tokur,53.1333,132.9,19.56,87,100,5.28,1650148990,RU
274,nyurba,63.2842,118.3319,19.51,87,91,6.31,1650148990,RU
275,wahiawa,21.5028,-158.0236,79.12,74,100,8.05,1650148991,US
276,khandyga,62.6667,135.6,16.47,87,96,0.69,1650148991,RU
277,aligudarz,33.4006,49.6949,44.89,37,0,1.19,1650148992,IR
278,atasu,48.6814,71.6433,55.13,22,100,6.76,1650148992,KZ
279,tagusao,9.1924,117.8141,80.8,78,70,3.56,1650148992,PH
280,batemans bay,-35.7167,150.1833,63.1,65,11,4.72,1650148993,AU
281,maniitsoq,65.4167,-52.9,21.83,68,22,9.31,1650148993,GL
282,felsotarkany,47.9667,20.4167,36.75,70,47,11.81,1650148994,HU
283,high rock,26.6208,-78.2833,80.62,71,1,11.65,1650148994,BS
284,jalu,29.0331,21.5482,72.59,30,68,17.05,1650148780,LY
285,keningau,5.3378,116.1602,71.24,95,94,1.03,1650148995,MY
286,henties bay,-22.116,14.2845,60.44,80,11,2.84,1650148996,NA
287,beziers,43.3476,3.219,66.33,37,0,12.66,1650148996,FR
288,barra patuca,15.8,-84.2833,80.91,71,79,9.89,1650148996,HN
289,arman,59.7,150.1667,23.02,67,18,5.93,1650148997,RU
290,kindberg,47.5,15.45,36.16,95,16,4.61,1650148997,AT
291,marienburg,54.0359,19.0266,35.89,89,90,6.67,1650148707,PL
292,sao joao da barra,-21.6403,-41.0511,71.53,69,67,13.13,1650148998,BR
293,alanya,36.5438,31.9998,57.33,58,73,2.19,1650148998,TR
294,launceston,-41.45,147.1667,62.15,100,40,3.44,1650148999,AU
295,kaeo,-35.1,173.7833,65.32,91,100,16.4,1650148999,NZ
296,vila velha,-20.3297,-40.2925,76.95,77,75,10.0,1650149000,BR
297,san cristobal,7.7669,-72.225,78.98,84,100,4.63,1650149000,VE
298,broome,42.2506,-75.833,44.02,79,100,3.44,1650149001,US
299,suez,29.9737,32.5263,70.86,19,15,2.35,1650149001,EG
300,bilibino,68.0546,166.4372,19.17,85,84,0.58,1650149001,RU
301,ismailia,30.6043,32.2723,67.96,28,33,10.4,1650149002,EG
302,mattru,7.6244,-11.8332,78.19,78,87,2.06,1650149002,SL
303,nanortalik,60.1432,-45.2371,29.26,87,11,10.56,1650149003,GL
304,tuatapere,-46.1333,167.6833,51.87,63,76,4.07,1650148817,NZ
305,norsup,-16.0667,167.3833,84.11,70,50,3.89,1650149003,VU
306,bowen,-20.0167,148.2333,76.77,62,36,12.84,1650149004,AU
307,lagos,6.5833,3.75,82.72,83,75,5.12,1650148921,NG
308,chicama,-7.8447,-79.1469,63.14,75,55,9.19,1650149005,PE
309,whitianga,-36.8333,175.7,65.35,79,100,18.43,1650149005,NZ
310,sobolevo,54.4299,31.8996,31.14,83,90,12.82,1650149005,RU
311,luba,3.4568,8.5547,82.11,81,93,6.82,1650149006,GQ
312,biak,-0.9131,122.8766,78.3,83,89,2.3,1650149006,ID
313,hemet,33.7475,-116.972,74.59,43,0,11.01,1650149007,US
314,kota belud,6.351,116.4305,76.96,81,69,2.75,1650149007,MY
315,gobabis,-22.45,18.9667,66.36,55,56,9.37,1650149006,NA
316,marrakesh,31.6315,-8.0083,73.47,38,0,5.75,1650149008,MA
317,spirit river,55.7833,-118.8361,35.49,45,100,9.22,1650148991,CA
318,mumford,5.2618,-0.759,78.12,86,100,9.22,1650149009,GH
319,pacific grove,36.6177,-121.9166,64.08,83,100,10.36,1650149009,US
320,lodja,-3.4833,23.4333,69.51,98,95,1.36,1650148888,CD
321,chegutu,-18.1302,30.1407,65.82,81,92,9.19,1650149010,ZW
322,abalak,58.1286,68.5944,37.22,92,100,7.11,1650149010,RU
323,alihe,50.5667,123.7167,32.16,46,25,7.27,1650149011,CN
324,lethem,3.3803,-59.7968,83.46,60,98,10.92,1650149011,GY
325,mende,44.6667,3.5,38.75,80,1,7.58,1650149012,FR
326,matay,28.419,30.7792,80.13,12,0,8.34,1650149012,EG
327,sioux lookout,50.1001,-91.917,26.67,59,100,9.22,1650148936,CA
328,staropyshminsk,56.9387,60.903,32.07,85,50,7.94,1650149013,RU
329,ndjole,-0.1783,10.7649,75.24,99,96,2.28,1650149014,GA
330,lacombe,52.4668,-113.7353,37.27,48,100,11.5,1650149014,CA
331,kismayo,-0.3582,42.5454,82.11,79,99,14.09,1650149014,SO
332,mehamn,71.0357,27.8492,37.56,92,100,32.44,1650149015,NO
333,maneromango,-7.1988,38.7848,68.77,99,100,3.29,1650149015,TZ
334,nemuro,43.3236,145.575,36.97,62,4,8.88,1650149016,JP
335,tsabong,-26.0217,22.401,61.05,82,93,18.84,1650149016,BW
336,tlacotepec,20.0667,-97.8667,84.88,38,5,8.9,1650149017,MX
337,alyangula,-13.8483,136.4192,78.67,89,98,5.75,1650149017,AU
338,kavaratti,10.5669,72.642,83.53,73,18,4.68,1650148887,IN
339,salinas,36.6777,-121.6555,67.57,72,100,16.11,1650149018,US
340,digby,44.6169,-65.7655,56.59,68,100,19.77,1650149018,CA
341,kaitangata,-46.2817,169.8464,52.07,59,82,5.19,1650148820,NZ
342,iqaluit,63.7506,-68.5145,10.13,78,75,0.0,1650149019,CA
343,mahebourg,-20.4081,57.7,79.09,83,75,8.05,1650149019,MU
344,mackay,-21.15,149.2,76.68,78,47,9.22,1650149020,AU
345,agadir,30.4202,-9.5982,73.85,27,39,4.68,1650149020,MA
346,kaka,37.3482,59.6143,62.98,45,63,6.15,1650149021,TM
347,kandrian,-6.2167,149.55,82.72,78,96,4.68,1650149021,PG
348,sidi ali,36.0998,0.4206,56.12,69,0,5.37,1650149021,DZ
349,namatanai,-3.6667,152.4333,83.25,72,98,4.92,1650149022,PG
350,acapulco,16.8634,-99.8901,85.82,62,0,8.05,1650149022,MX
351,laguna,38.421,-121.4238,72.14,60,40,10.36,1650149023,US
352,sinnamary,5.3833,-52.95,78.26,84,96,11.14,1650149023,GF
353,otane,-39.8833,176.6333,61.02,62,52,7.36,1650149024,NZ
354,marseille,43.3333,5.5,60.98,52,0,2.28,1650148738,FR
355,savannah bight,16.45,-85.85,81.18,78,50,17.29,1650149024,HN
356,tynda,55.1667,124.7167,19.15,76,57,3.31,1650149025,RU
357,missoula,47.0166,-113.8009,26.85,92,100,2.15,1650148802,US
358,kerrville,30.0474,-99.1403,89.46,56,0,5.75,1650149025,US
359,iberia,29.9502,-91.7507,83.05,69,40,12.66,1650148873,US
360,palkonda,18.6,83.75,79.18,86,76,3.04,1650149026,IN
361,katsuura,35.1333,140.3,56.84,60,99,10.02,1650149026,JP
362,kloulklubed,7.0419,134.2556,73.9,73,60,1.68,1650148799,PW
363,sambava,-14.2667,50.1667,73.98,88,4,9.51,1650149027,MG
364,polyarnyy,69.1989,33.4478,37.22,92,100,22.08,1650149028,RU
365,zhigansk,66.7697,123.3711,3.43,99,89,10.31,1650148880,RU
366,bandarbeyla,9.4942,50.8122,80.85,80,45,6.73,1650148743,SO
367,westport,41.1415,-73.3579,60.75,79,100,11.5,1650148857,US
368,bambous virieux,-20.3428,57.7575,79.05,83,75,8.05,1650149027,MU
369,esperance,-33.8667,121.9,58.84,74,80,13.18,1650148898,AU
370,karwar,14.8,74.1333,78.96,85,31,2.35,1650148808,IN
